nama_produk,harga,rating,jumlah_terjual,lokasi_penjual,kategori,brand,platform
Hp Itel S25 Ram 8GB Internal 128GB Garansi Resmi,1.989.005,5,Terjual 1,Kota Pekanbaru,Hp,Itel,Blibli
Hp Itel S26 Ultra Ram 8GB Internal 256GB Garansi Resmi,2.884.505,,,Kota Pekanbaru,Hp,Itel,Blibli
iTel A80 Ram 4GB Rom 128GB,1.015.000,,,,Hp,Itel,Blibli
iTel P55 5G Ram 6GB Rom 128GB,1.289.000,,,,Hp,Itel,Blibli
iTel RS4 Ram 8GB Rom 128GB,1.589.000,,,,Hp,Itel,Blibli
iTel P40 Ram 4GB Rom 64GB,1.089.000,,,,Hp,Itel,Blibli
iTel Rs 4 Ram 8GB Rom 256GB,1.680.000,,Terjual 1,,Hp,Itel,Blibli
iTel P65 Ram 8GB Rom 128GB,1.475.000,,,,Hp,Itel,Blibli
iTel S23 Plus Ram 8GB Rom 256GB,1.915.000,,,,Hp,Itel,Blibli
iTel A50 Ram 3GB Rom 64GB,875.000,,,,Hp,Itel,Blibli
iTel P55 Ram 8GB Rom 256GB,1.389.000,3,Terjual 3,,Hp,Itel,Blibli
A26 2/32 Hp Itel,999.000,,,,Hp,Itel,Blibli
"itel A100C Layar 6.6"" 90Hz Tahan Banting Military-Grade UltraLink Free Call 5000mAh Battery",1.368.900,5,Terjual 65,Kota Jakarta Pusat,Hp,Itel,Blibli
Itel A90 Lte 4/64 Gb Garansi Resmi,1.399.000,,,Kota Medan,Hp,Itel,Blibli
ITEL A100C 4/64 GB - ITEL A100C 3/64 GB GARANSI RESMI - REFRESH RATE 90Hz - BATERAI 5000 mAh,1.366.000,,,Kota Tangerang,Hp,Itel,Blibli
itel A100C 3/64 4/64 - Garansi resmi,1.381.575,5,Terjual 34,Kota Jakarta Pusat,Hp,Itel,Blibli
Itel SUPER 26 ULTRA - 8+8/256GB - T7300 Ultra Gaming Processor RAM 8GB Internal 256GB Garansi Resmi Smartphone Gaming Performa Terbaik,2.749.000,,,Kota Bekasi,Hp,Itel,Blibli
ITEL A70 12/64 PROMO!!,1.500.000,5,Terjual 4,Kota Batam,Hp,Itel,Blibli
"itel A100C 4+64GB Layar 6.6"" 90Hz Tahan Banting Military-Grade Big Memory UltraLink Free Call 5000mAh Battery",1.660.000,,,Kota Batam,Hp,Itel,Blibli
"itel A100C 4+64GB Layar 6.6"" 90Hz Tahan Banting Military-Grade Big Memory UltraLink Free Call 5000mAh Battery",1.499.000,,,Kota Jakarta Barat,Hp,Itel,Blibli
"itel A100C 3+64GB Layar 6.6"" 90Hz Tahan Banting Military-Grade UltraLink Free Call 5000mAh Battery",1.550.000,,,Kota Batam,Hp,Itel,Blibli
Itel A100C 4+8GB RAM / 64GB ROM - Military Grade Durability - Dynamic Bar,1.470.000,,,Kota Semarang,Hp,Itel,Blibli
itel S26 Ultra 8+8/256GB | 144Hz 1.5K AMOLED 6000mAh IP65 Waterproof Gorilla Glass 7i AI Eraser NFC,3.099.000,,,Kota Batam,Hp,Itel,Blibli
itel S26 Ultra 8+8/256GB | 144Hz 1.5K AMOLED 6000mAh IP65 Waterproof Gorilla Glass 7i AI Eraser NFC,2.769.000,,Terjual 1,Kota Jakarta Barat,Hp,Itel,Blibli
A26 2/32 Light Purple Hp Itel,999.000,,,,Hp,Itel,Blibli
Handphone ITEL P55 8/256GB Luminious Gold,1.482.057,,Terjual 1,,Hp,Itel,Blibli
Hp Itel A100C Ram 4GB Internal 64GB Garansi Resmi,1.491.505,,,Kota Pekanbaru,Hp,Itel,Blibli
